minX,maxX,minY,maxY,minZ,maxZ
504.761,514.761,-384.232,-374.232,0,25
514.761,524.761,-384.232,-374.232,0,25
524.761,534.761,-384.232,-374.232,0,25
534.761,544.761,-384.232,-374.232,0,25
544.761,554.761,-384.232,-374.232,0,25
554.761,564.761,-384.232,-374.232,0,25
564.761,574.761,-384.232,-374.232,0,25
574.761,584.761,-384.232,-374.232,0,25
584.761,594.761,-384.232,-374.232,0,25
-305.239,-295.239,-374.232,-364.232,0,14
-295.239,-285.239,-374.232,-364.232,0,14
-285.239,-275.239,-374.232,-364.232,0,14
-105.239,-95.2389,-374.232,-364.232,0,28
-85.2389,-75.2389,-374.232,-364.232,0,75
-75.2389,-65.2389,-374.232,-364.232,0,75
-35.2389,-25.2389,-374.232,-364.232,0,69
-25.2389,-15.2389,-374.232,-364.232,0,69
4.76114,14.7611,-374.232,-364.232,0,212
14.7611,24.7611,-374.232,-364.232,0,212
64.7611,74.7611,-374.232,-364.232,0,81
104.761,114.761,-374.232,-364.232,0,99
114.761,124.761,-374.232,-364.232,0,99
124.761,134.761,-374.232,-364.232,0,99
134.761,144.761,-374.232,-364.232,0,99
144.761,154.761,-374.232,-364.232,0,99
234.761,244.761,-374.232,-364.232,0,21
244.761,254.761,-374.232,-364.232,0,21
294.761,304.761,-374.232,-364.232,0,81
304.761,314.761,-374.232,-364.232,0,81
314.761,324.761,-374.232,-364.232,0,81
324.761,334.761,-374.232,-364.232,0,81
364.761,374.761,-374.232,-364.232,0,25
374.761,384.761,-374.232,-364.232,0,25
384.761,394.761,-374.232,-364.232,0,25
394.761,404.761,-374.232,-364.232,0,25
424.761,434.761,-374.232,-364.232,0,13
434.761,444.761,-374.232,-364.232,0,13
444.761,454.761,-374.232,-364.232,0,26
454.761,464.761,-374.232,-364.232,0,26
484.761,494.761,-374.232,-364.232,0,25
494.761,504.761,-374.232,-364.232,0,25
504.761,514.761,-374.232,-364.232,0,25
514.761,524.761,-374.232,-364.232,0,25
524.761,534.761,-374.232,-364.232,0,25
534.761,544.761,-374.232,-364.232,0,25
544.761,554.761,-374.232,-364.232,0,25
554.761,564.761,-374.232,-364.232,0,25
564.761,574.761,-374.232,-364.232,0,25
-165.239,-155.239,-364.232,-354.232,0,58
-155.239,-145.239,-364.232,-354.232,0,58
-145.239,-135.239,-364.232,-354.232,0,58
-135.239,-125.239,-364.232,-354.232,0,58
-125.239,-115.239,-364.232,-354.232,0,58
-115.239,-105.239,-364.232,-354.232,0,28
-105.239,-95.2389,-364.232,-354.232,0,28
-95.2389,-85.2389,-364.232,-354.232,0,75
-85.2389,-75.2389,-364.232,-354.232,0,75
-75.2389,-65.2389,-364.232,-354.232,0,75
